"stockid","stocklong","country","region","lme_name","areaid","area","species","comm_name","msy_source","msy_code","msy_units","msy","year","uumsy","uumsy_source","uumsy_notes"
"SARDMEDGSA22","European pilchard Aegean Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA22","Aegean Sea","Sardina pilchardus","European pilchard","Estimated from Fox or Schaefer model","MSY-est-MT","MT",16033.92346,2008,1.37986791159305,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SARDMEDGSA6","European pilchard Northern Spain","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA6","Northern Spain","Sardina pilchardus","European pilchard","Estimated from Fox or Schaefer model","MSY-est-MT","MT",14007.42479,2015,2.52857142857143,"Assessment","FdivFmsy-calc-dimensionless"
"SARDMEDGSA7","Sardine Gulf of Lions","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA7","Gulf of Lions","Sardina pilchardus","Sardine","Estimated from Fox or Schaefer model","MSY-est-MT","MT",25155.82787,2011,0.0629238456627524,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SARDPCOAST","Pacific sardine Pacific Coast","USA","US West Coast","California Current","USA-NMFS-PCOAST","Pacific Coast","Sardinops sagax","Pacific sardine","Estimated from Fox or Schaefer model","MSY-est-MT","MT",32284.6893,2016,0.0275817841733112,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SARDPVIIIc-IXa","Sardine ICES 8c-9a","multinational","European Union","Iberian Coastal","multinational-ICES-VIIIc-IXa","ICES 8c-9a","Sardina pilchardus","Sardine","Estimated from Fox or Schaefer model","MSY-est-MT","MT",146474.1277,2017,1.43333333333333,"Assessment","FdivFmsy-calc-dimensionless"
"SARDWAZC","Sardine West Africa Zone C","multinational","West Africa","Canary Current","multinational-FAO-Z-C","West Africa Zone C","Sardina pilchardus","Sardine","Estimated from Fox or Schaefer model","MSY-est-MT","MT",282539.7989,2010,0.72,"Assessment","FdivFmsy-calc-dimensionless"
"SARDWSE","Sardine Western half of Southeast Australia","Australia","Australia",NA,"Australia-SARDI-WSE","Western half of Southeast Australia","Sardinops sagax","Sardine","Assessment","MSY-MT","MT",85725.79816,2017,0.245091980555549,"Assessment","FdivFmsy-calc-dimensionless"
"SAURNWPAC","Pacific saury Northwest Pacific","Japan","Japan","Kuroshio Current","Japan-FAJ-NWPAC","Northwest Pacific","Cololabis saira","Pacific saury","Calculated from other assessment values (ie Bmsy from MSY and Umsy)","MSY-calc-MT","MT",474259.1,2013,0.149949341438703,"Assessment","ERdivERmsy-calc-dimensionless"
"SBARSHARATL","Sandbar shark Atlantic","USA","US Southeast and Gulf","Southeast U.S. Continental Shelf","USA-NMFS-ATL","Atlantic","Carcharhinus plumbeus","Sandbar shark","Assessment","MSY-MT","MT",403,2009,0.623809523809524,"Assessment","FdivFmsy-calc-dimensionless"
"SBELLYROCKPCOAST","Shortbelly rockfish Pacific Coast","USA","US West Coast","California Current","USA-NMFS-PCOAST","Pacific Coast","Sebastes jordani","Shortbelly rockfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",789.401234,2005,0,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SBREAMCH","Deepwater cardinalfish Chile","multinational","South America","Humboldt Current","multinational-SPRFMO-CHL","Chile","Epigonus crassicaudus","Deepwater cardinalfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",2194.157172,2011,0.31490163347886,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SBT","Southern bluefin tuna Southern Oceans","multinational","Indian Ocean","Indian Ocean","multinational-CCSBT-SO","Southern Oceans","Thunnus maccoyii","Southern bluefin tuna","Assessment","MSY-MT","MT",33000,2016,0.496,"Assessment","FdivFmsy-dimensionless"
"SBWHITACIR","Southern blue whiting Campbell Island Rise","New Zealand","New Zealand","South Pacific Ocean","New Zealand-MFish-CIR","Campbell Island Rise","Micromesistius australis","Southern blue whiting","Estimated from Fox or Schaefer model","MSY-est-MT","MT",20826.21652,2013,0.815668778163186,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SBWHITCH","Southern blue whiting Central-Southern Chile","Chile","South America",NA,"Chile-SUBPESCA-CH-CS","Central-Southern Chile","Micromesistius australis","Southern blue whiting","Estimated from Fox or Schaefer model","MSY-est-MT","MT",3125.99673,2016,1.38,"Assessment","FdivFmsy-dimensionless"
"SCALL5ZMAB","Sea scallop Georges Bank and Mid-Atlantic Bight","USA","US East Coast","Northeast U.S. Continental Shelf","USA-NMFS-5ZMAB","Georges Bank and Mid-Atlantic Bight","Placopecten magellanicus","Sea scallop","Assessment","MSY-MT","MT",23798,2013,0.570015677061384,"Assessment","ERdivERmsy-calc-dimensionless"
"SCALLGB","Sea scallop Georges Bank","Canada","Canada East Coast","Northeast U.S. Continental Shelf","Canada-DFO-5Z","Georges Bank","Placopecten magellanicus","Sea scallop","Estimated from Fox or Schaefer model","MSY-est-MT","MT",6601.973775,2013,0.342893775173597,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SCALLNBB","Sea scallop North Brown Bank","Canada","Canada East Coast","Northeast U.S. Continental Shelf","Canada-DFO-NBB","North Brown Bank","Placopecten magellanicus","Sea scallop","Estimated from Fox or Schaefer model","MSY-est-MT","MT",2131.382793,2010,0.0710394033492446,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SCMPBP","Scampi Bay of Plenty","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-BOP","Bay of Plenty","Metanephrops challengeri","Scampi","Assessment","MSY-MT","MT",342.4918,2012,0.331654263179901,"Assessment","ERdivERmsy-calc-dimensionless"
"SCMPMB","Scampi Mernoo Bank","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-MB","Mernoo Bank","Metanephrops challengeri","Scampi","Estimated from Fox or Schaefer model","MSY-est-MT","MT",24.46001041,2014,8.5527355255402,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SCMPWHB","Scampi Wairarapa/Hawke Bay","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-WHB","Wairarapa/Hawke Bay","Metanephrops challengeri","Scampi","Assessment","MSY-MT","MT",194,2012,0.267306458720841,"Assessment","ERdivERmsy-calc-dimensionless"
"SCUPNWATLC","Scup Northwestern Atlantic Coast","USA","US East Coast","Northeast U.S. Continental Shelf","USA-NMFS-NWATLC","Northwestern Atlantic Coast","Stenotomus chrysops","Scup","Assessment","MSY-MT","MT",11752,2014,0.577272727272727,"Assessment","FdivFmsy-calc-dimensionless"
"SDOGATLC","Spiny dogfish Atlantic Coast","USA","US East Coast","Northeast U.S. Continental Shelf","USA-NMFS-ATLC","Atlantic Coast","Squalus acanthias","Spiny dogfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",20519.78649,2015,0.877049180327869,"Assessment","FdivFmsy-calc-dimensionless"
"SEELNSSA1","Sand eel Sandeel Area 1","multinational","European Union","North Sea","multinational-ICES-SA1","Sandeel Area 1","Ammodytes spp","Sand eel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",566746.2925,2017,5.25471610172164,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SEELNSSA2","Sand eel Sandeel Area 2","multinational","European Union","North Sea","multinational-ICES-SA2","Sandeel Area 2","Ammodytes spp","Sand eel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",118347.1582,2017,5.5816156730422,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SEELNSSA3","Sand eel Sandeel Area 3","multinational","European Union","North Sea","multinational-ICES-SA3","Sandeel Area 3","Ammodytes spp","Sand eel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",360882.2253,2014,1.7975635933157,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SFLOUNMATLC","Summer flounder Mid-Atlantic Coast","USA","US East Coast","Northeast U.S. Continental Shelf","USA-NMFS-MATLC","Mid-Atlantic Coast","Paralichthys dentatus","Summer flounder","Assessment","MSY-MT","MT",12945,2014,1.16181229773463,"Assessment","FdivFmsy-calc-dimensionless"
"SHAKE4VWX","Silver hake Scotian Shelf and Bay of Fundy","Canada","Canada East Coast","Scotian Shelf","Canada-DFO-4VWX","Scotian Shelf and Bay of Fundy","Merluccius bilinearis","Silver hake","Assessment","MSY-MT","MT",16000,2014,0.175029965753425,"Assessment","ERdivERmsy-calc-dimensionless"
"SHCROCKPCOAST","Sharpchin rockfish Pacific Coast","USA","US West Coast",NA,"USA-NMFS-PCOAST","Pacific Coast","Sebastes zacentrus","Sharpchin rockfish","Assessment","MSY-MT","MT",270,2012,0.06,"Assessment","FdivFmsy-calc-dimensionless"
"SILVERFISHSE","Silverfish Southeast Australia","Australia","Australia","Southeast Australian Shelf","Australia-AFMA-SE","Southeast Australia","Seriolella punctata","Silverfish","Assessment","MSY-MT","MT",2064.398075,2017,0.199503531144745,"Assessment","FdivFmsy-calc-dimensionless"
"SKJCIO","Skipjack tuna Indian Ocean","multinational","Indian Ocean","Indian Ocean","multinational-IOTC-IO","Indian Ocean","Katsuwonus pelamis","Skipjack tuna","Assessment","MSY-MT","MT",510000,2016,0.93,"Assessment","FdivFmsy-dimensionless"
"SKJCWPAC","Skipjack tuna Central Western Pacific Ocean","multinational","Pacific Ocean","North Pacific Ocean","multinational-WCPFC-CWPAC","Central Western Pacific Ocean","Katsuwonus pelamis","Skipjack tuna","Assessment","MSY-MT","MT",1618800,2015,0.612245391411282,"Assessment","ERdivERmsy-calc-dimensionless"
"SKJEATL","Skipjack tuna Eastern Atlantic","multinational","Atlantic Ocean","North Atlantic Ocean","multinational-ICCAT-EATL","Eastern Atlantic","Katsuwonus pelamis","Skipjack tuna","Assessment","MSY-MT","MT",156500,2006,0.431975689193939,"Assessment","ERdivERmsy-calc-dimensionless"
"SKJWATL","Skipjack tuna Western Atlantic","multinational","Atlantic Ocean","North Brazil Shelf","multinational-ICCAT-WATL","Western Atlantic","Katsuwonus pelamis","Skipjack tuna","Assessment","MSY-MT","MT",31620,2013,0.488687782805428,"Assessment","ERdivERmsy-calc-dimensionless"
"SMDOGATL","Smooth dogfish Atlantic","USA","US East Coast",NA,"USA-NMFS-ATL","Atlantic","Mustelus canis","Smooth dogfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1358.497421,2012,0.790697674418605,"Assessment","ERdivERmsy-calc-dimensionless"
"SMOOTHOREOBP","Smooth oreo Bounty Plateau","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-BP","Bounty Plateau","Pseudocyttus maculatus","Smooth oreo","Assessment","MSY-MT","MT",447,2008,0.721428571428571,"Assessment","ERdivERmsy-calc-dimensionless"
"SMOOTHOREOCR","Smooth oreo Chatham Rise","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-CR","Chatham Rise","Pseudocyttus maculatus","Smooth oreo","Assessment","MSY-MT","MT",2996,2013,1.55,"Assessment","ERdivERmsy-dimensionless"
"SMOOTHOREOEPR","Smooth oreo East Pukaki Rise","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-EPR","East Pukaki Rise","Pseudocyttus maculatus","Smooth oreo","Assessment","MSY-MT","MT",443,2006,1.975,"Assessment","ERdivERmsy-calc-dimensionless"
"SMOOTHOREOSLD","Smooth oreo Southland","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-SLD","Southland","Pseudocyttus maculatus","Smooth oreo","Assessment","MSY-MT","MT",420.72,2007,0.778587353351432,"Assessment","ERdivERmsy-calc-dimensionless"
"SMOOTHOREOWECR","Smooth oreo West end of Chatham Rise","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-WECR","West end of Chatham Rise","Pseudocyttus maculatus","Smooth oreo","Assessment","MSY-MT","MT",2179,2009,0.1875,"Assessment","ERdivERmsy-calc-dimensionless"
"SMSHRMPMEDGSA17-18","Spottail mantis shrimp Adriatic Sea (GSA 17,18)","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA17-18","Adriatic Sea (GSA 17,18)","Squilla mantis","Spottail mantis shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",6715.999598,2014,1.2375,"Assessment","FdivFmgt-calc-dimensionless"
"SMULLMEDGSA15-16","Surmullet Malta Island and South of Sicily (GSA 15, 16)","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA15-16","Malta Island and South of Sicily (GSA 15, 16)","Mullus surmuletus","Surmullet","Estimated from Fox or Schaefer model","MSY-est-MT","MT",2165.315352,2012,4.10526315789474,"Assessment","FdivFmgt-calc-dimensionless"
"SMULLMEDGSA9","Surmullet Ligurian and North Tyrrhenian Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA9","Ligurian and North Tyrrhenian Sea","Mullus surmuletus","Surmullet","Estimated from Fox or Schaefer model","MSY-est-MT","MT",440.2811169,2015,0.946153846153846,"Assessment","FdivFmgt-calc-dimensionless"
"SNAPSAUSSSG","Snapper Southern Spencer Gulf","Australia","Australia","South West Australian Shelf","Australia-SARDI-SAUSSSG","Southern Spencer Gulf","Pagrus auratus","Snapper","Estimated from Fox or Schaefer model","MSY-est-MT","MT",370.5969445,2009,0.664034376847198,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SNOSESHARATL","Atlantic sharpnose shark Atlantic","USA","US Southeast and Gulf","Gulf of Mexico","USA-NMFS-ATL","Atlantic","Rhizoprionodon terraenovae","Atlantic sharpnose shark","Assessment","MSY-MT","MT",1270,2005,0.721052631578947,"Assessment","FdivFmsy-calc-dimensionless"
"SNOWCRABBS","Snow crab Bering Sea","USA","US Alaska","East Bering Sea","USA-NMFS-BS","Bering Sea","Chionoecetes opilio","Snow crab","Estimated from Fox or Schaefer model","MSY-est-MT","MT",47733.39516,2012,0.373417721518987,"Assessment","FdivFmsy-calc-dimensionless"
"SNOWCRABESJ","Snow crab Sea of Japan East","Japan","Japan",NA,"Japan-FAJ-ESJ","Sea of Japan East","Chionoecetes opilio","Snow crab","Calculated from other assessment values (ie Bmsy from MSY and Umsy)","MSY-calc-MT","MT",829.135,2013,0.216644865925442,"Assessment","ERdivERmsy-calc-dimensionless"
"SNOWCRABNPAC","Snow crab North Pacific","Japan","Japan",NA,"Japan-FAJ-NPAC","North Pacific","Chionoecetes opilio","Snow crab","Calculated from other assessment values (ie Bmsy from MSY and Umsy)","MSY-calc-MT","MT",159.068,2013,0.042386006097064,"Assessment","ERdivERmsy-calc-dimensionless"
"SNOWCRABSGSL","Snow crab Southern Gulf of St. Lawrence","Canada","Canada East Coast","Scotian Shelf","Canada-DFO-4T","Southern Gulf of St. Lawrence","Chionoecetes opilio","Snow crab","Estimated from Fox or Schaefer model","MSY-est-MT","MT",22948.96397,2014,1.05023165435177,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SNOWCRABWSJ","Snow crab Sea of Japan West","Japan","Japan",NA,"Japan-FAJ-WSJ","Sea of Japan West","Chionoecetes opilio","Snow crab","Calculated from other assessment values (ie Bmsy from MSY and Umsy)","MSY-calc-MT","MT",5475.84,2013,0.300822122571002,"Assessment","ERdivERmsy-calc-dimensionless"
"SNOWGROUPSATLC","Snowy grouper Southern Atlantic coast","USA","US Southeast and Gulf","Southeast U.S. Continental Shelf","USA-NMFS-SATLC","Southern Atlantic coast","Hyporthodus niveatus","Snowy grouper","Assessment","MSY-MT","MT",189.8737661,2012,1.07237992031008,"Assessment","ERdivERmsy-calc-dimensionless"
"SNROCKPCOAST","Splitnose rockfish Pacific Coast","USA","US West Coast","California Current","USA-NMFS-PCOAST","Pacific Coast","Sebastes diploproa","Splitnose rockfish","Assessment","MSY-MT","MT",1268,2008,0.0577889447236181,"Assessment","ERdivERmsy-calc-dimensionless"
"SOLECS","Common sole Celtic Sea","multinational","European Union","Celtic-Biscay Shelf","multinational-ICES-VIIf-g","Celtic Sea","Solea solea","Common sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1132.601237,2017,1.45620437956204,"Assessment","FdivFmsy-calc-dimensionless"
"SOLEIIIa-2224","Common sole ICES 22-24-3a","multinational","European Union",NA,"multinational-ICES-22-24-IIIa","ICES 22-24-3a","Solea solea","Common sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",929.650117,2017,1.21304347826087,"Assessment","FdivFmsy-calc-dimensionless"
"SOLEIS","Common sole Irish Sea","multinational","European Union","Celtic-Biscay Shelf","multinational-ICES-VIIa","Irish Sea","Solea solea","Common sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1354.503223,2017,0.094,"Assessment","FdivFmsy-calc-dimensionless"
"SOLENS","Common sole North Sea","multinational","European Union","North Sea","multinational-ICES-IV","North Sea","Solea solea","Common sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",25032.4721,2017,1.09,"Assessment","FdivFmsy-calc-dimensionless"
"SOLEVIId","Common sole Eastern English Channel","multinational","European Union","Celtic-Biscay Shelf","multinational-ICES-VIId","Eastern English Channel","Solea solea","Common sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",4828.300728,2017,0.9375,"Assessment","FdivFmsy-calc-dimensionless"
"SOLEVIIe","Common sole Western English Channel","multinational","European Union","Celtic-Biscay Shelf","multinational-ICES-VIIe","Western English Channel","Solea solea","Common sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1122.685583,2017,0.738831615120275,"Assessment","FdivFmsy-calc-dimensionless"
"SOLEVIIIab","Common sole ICES 8ab","multinational","European Union",NA,"multinational-ICES-VIIIab","ICES 8ab","Solea solea","Common sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",7983.341135,2016,1.1030303030303,"Assessment","FdivFmsy-calc-dimensionless"
"SOUTHHAKECH","Southern hake Central-Southern Chile","Chile","South America","Humboldt Current","Chile-SUBPESCA-CH-CS","Central-Southern Chile","Merluccius australis","Southern hake","Estimated from Fox or Schaefer model","MSY-est-MT","MT",19375.04508,2014,1.08626198083067,"Assessment","FdivFmsy-calc-dimensionless"
"SOUTHHAKECR","Southern hake Chatham Rise","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-CR","Chatham Rise","Merluccius australis","Southern hake","Assessment","MSY-MT","MT",4144,2012,0.0973699361725887,"Assessment","ERdivERmsy-calc-dimensionless"
"SOUTHHAKESA","Southern hake Sub-Antarctic","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-SA","Sub-Antarctic","Merluccius australis","Southern hake","Assessment","MSY-MT","MT",4341,2014,0.22,"Assessment","ERdivERmsy-dimensionless"
"SOUTHHAKEWCSI","Southern hake West Coast South Island","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-WCSI","West Coast South Island","Merluccius australis","Southern hake","Assessment","MSY-MT","MT",8077,2012,0.16,"Assessment","ERdivERmsy-dimensionless"
"SPANMACKGM","Spanish mackerel Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","USA-NMFS-GM","Gulf of Mexico","Scomberomorus maculatus","Spanish mackerel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1504.293125,2011,0.333333333333333,"Assessment","FdivFmsy-calc-dimensionless"
"SPANMACKSATLC","Spanish mackerel Southern Atlantic coast","USA","US Southeast and Gulf","Southeast U.S. Continental Shelf","USA-NMFS-SATLC","Southern Atlantic coast","Scomberomorus maculatus","Spanish mackerel","Assessment","MSY-MT","MT",2750,2011,0.550928925619835,"Assessment","ERdivERmsy-calc-dimensionless"
"SPANMACKSETO","Japanese Spanish mackerel Inland Sea of Japan","Japan","Japan","Kuroshio Current","Japan-FAJ-SETO","Inland Sea of Japan","Scomberomorus niphonius","Japanese spanish mackerel","Assessment","MSY-MT","MT",6926.257021,2013,1.27581189658756,"Assessment","ERdivERmsy-calc-dimensionless"
"SPHAKECH","South Pacific hake Central-Southern Chile","Chile","South America","Humboldt Current","Chile-SUBPESCA-CH-CS","Central-Southern Chile","Merluccius gayi gayi","South pacific hake","Estimated from Fox or Schaefer model","MSY-est-MT","MT",60523.9067,2015,0.56,"Assessment","FdivFmsy-dimensionless"
"SPRAT22-32","Sprat Baltic Areas 22-32","multinational","European Union","Baltic Sea","multinational-ICES-22-32","Baltic Areas 22-32","Sprattus sprattus","Sprat","Estimated from Fox or Schaefer model","MSY-est-MT","MT",252295.0787,2017,1.06538461538462,"Assessment","FdivFmsy-calc-dimensionless"
"SPRBLKGSA29","Sprat Black Sea","multinational","Mediterranean-Black Sea","Black Sea","multinational-GFCM-GSA29","Black Sea","Sprattus sprattus","Sprat","Estimated from Fox or Schaefer model","MSY-est-MT","MT",342927.2147,2014,0.946875,"Assessment","FdivFmsy-calc-dimensionless"
"SPSDOGPCOAST","Spotted spiny dogfish Pacific Coast","USA","US West Coast","California Current","USA-NMFS-PCOAST","Pacific Coast","Squalus suckleyi","Spotted spiny dogfish","Assessment","MSY-MT","MT",848,2010,1.47169811320755,"Assessment","ERdivERmsy-calc-dimensionless"
"SRAKEROCKBSAI","Shortraker rockfish Bering Sea and Aleutian Islands","USA","US Alaska","East Bering Sea","USA-NMFS-BSAI","Bering Sea and Aleutian Islands","Sebastes borealis","Shortraker rockfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",2443.804495,2014,0.0382746168750194,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SRAKEROCKGA","Shortraker rockfish Gulf of Alaska","USA","US Alaska",NA,"USA-NMFS-GA","Gulf of Alaska","Sebastes borealis","Shortraker rockfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",3082.679242,2014,0.145451200482305,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SSANDWSJ","Sailfin sandfish Sea of Japan West","Japan","Japan",NA,"Japan-FAJ-WSJ","Sea of Japan West","Arctoscopus japonicus","Sailfin sandfish","Calculated from other assessment values (ie Bmsy from MSY and Umsy)","MSY-calc-MT","MT",6694.38,2013,0.298442975788514,"Assessment","ERdivERmsy-calc-dimensionless"
"SSARDCH","Southern sardine Central-Southern Chile","Chile","South America","Humboldt Current","Chile-SUBPESCA-CH-CS","Central-Southern Chile","Sprattus fuegensis","Southern sardine","Estimated from Fox or Schaefer model","MSY-est-MT","MT",32796.20428,2016,0.941176470588235,"Assessment","FdivFmgt-calc-dimensionless"
"SSHRIMPSMAPRD","Sidestripe shrimp Shrimp Management Area PRD","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-SMA-PRD","Shrimp Management Area PRD","Pandalopsis dispar","Sidestripe shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",172.5063707,2010,0.152063910710216,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SSSHRIMPSMA14","Sidestripe shrimp Shrimp Management Area 14","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-SMA-14","Shrimp Management Area 14","Pandalopsis dispar","Sidestripe shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",44.41607095,2010,0.0780779817742689,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SSSHRIMPSMA16","Sidestripe shrimp Shrimp Management Area 16","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-SMA-16","Shrimp Management Area 16","Pandalopsis dispar","Sidestripe shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",20.21331739,2010,0.0972612458423602,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SSSHRIMPSMA18-19","Sidestripe shrimp Shrimp Management Areas 18 and 19","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-SMA-18-19","Shrimp Management Areas 18 and 19","Pandalopsis dispar","Sidestripe shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",10.99496502,2011,0,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SSSHRIMPSMAFR","Sidestripe shrimp Shrimp Management Area FR","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-SMA-FR","Shrimp Management Area FR","Pandalopsis dispar","Sidestripe shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",55.48931653,2010,0.242442049759229,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SSTHORNHGA","Shortspine thornyhead Gulf of Alaska","USA","US Alaska",NA,"USA-NMFS-GA","Gulf of Alaska","Sebastolobus alascanus","Shortspine thornyhead","Estimated from Fox or Schaefer model","MSY-est-MT","MT",3341.997119,2014,0.180913759365014,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"SSTHORNHPCOAST","Shortspine thornyhead Pacific Coast","USA","US West Coast","California Current","USA-NMFS-PCOAST","Pacific Coast","Sebastolobus alascanus","Shortspine thornyhead","Assessment","MSY-MT","MT",2034,2012,0.374,"Assessment","FdivFmsy-calc-dimensionless"
"STFLOUNNPCOAST","Starry flounder Northern Pacific Coast","USA","US West Coast","California Current","USA-NMFS-NPCOAST","Northern Pacific Coast","Platichthys stellatus","Starry flounder","Assessment","MSY-MT","MT",818,2004,0.117889773062187,"Assessment","ERdivERmsy-calc-dimensionless"
"STFLOUNSPCOAST","Starry flounder Southern Pacific Coast","USA","US West Coast","California Current","USA-NMFS-SPCOAST","Southern Pacific Coast","Platichthys stellatus","Starry flounder","Assessment","MSY-MT","MT",396,2004,0.0747058823623739,"Assessment","ERdivERmsy-calc-dimensionless"
"STMARLINIO","Striped marlin Indian Ocean","multinational","Indian Ocean","Indian Ocean","multinational-IOTC-IO","Indian Ocean","Kajikia audax","Striped marlin","Assessment","MSY-MT","MT",4218,2011,1.32887832711802,"Assessment","ERdivERmsy-calc-dimensionless"
"STMARLINNEPAC","Striped marlin Northeast Pacific","multinational","Pacific Ocean","North Pacific Ocean","multinational-IATTC-NEPAC","Northeast Pacific","Kajikia audax","Striped marlin","Assessment","MSY-MT","MT",2596,2009,0.0754,"Assessment","FdivFmsy-dimensionless"
"STMARLINSWPO","Striped marlin Western Pacific Ocean","multinational","Pacific Ocean","South Pacific Ocean","multinational-WCPFC-SWPAC","Western Pacific Ocean","Kajikia audax","Striped marlin","Assessment","MSY-MT","MT",2081,2011,0.806148325861262,"Assessment","ERdivERmsy-calc-dimensionless"
"STMARLINWCNPAC","Striped marlin Western and Central North Pacific","Multinational","Pacific Ocean","North Pacific Ocean","multinational-ISC-WCNPAC","Western and Central North Pacific","Kajikia audax","Striped marlin","Assessment","MSY-MT","MT",5657,2009,1.24432635142163,"Assessment","ERdivERmsy-calc-dimensionless"
"SURFMATLC","Atlantic surfclam Mid-Atlantic Coast","USA","US East Coast","Northeast U.S. Continental Shelf","USA-NMFS-MATLC","Mid-Atlantic Coast","Spisula solidissima","Atlantic surfclam","Assessment","MSY-MT","MT",98000,2011,0.174039276087794,"Assessment","ERdivERmsy-calc-dimensionless"
"SWHITSE","School whiting Southeast Australia","Australia","Australia","Southeast Australian Shelf","Australia-AFMA-SE","Southeast Australia","Sillago flindersi","School whiting","Assessment","MSY-MT","MT",2070.344826,2016,0.536455970833066,"Assessment","FdivFmsy-calc-dimensionless"
"SWORDEPAC","Swordfish Eastern Pacific","multinational","Pacific Ocean","South Pacific Ocean","multinational-IATTC-EPAC","Eastern Pacific","Xiphias gladius","Swordfish","Assessment","MSY-MT","MT",54900,2012,1.06,"Assessment","ERdivERmsy-dimensionless"
"SWORDIO","Swordfish Indian Ocean","multinational","Indian Ocean","Indian Ocean","multinational-IOTC-IO","Indian Ocean","Xiphias gladius","Swordfish","Assessment","MSY-MT","MT",27100,2012,0.697,"Assessment","FdivFmsy-dimensionless"
"SWORDMED","Swordfish Mediterranean Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-ICCAT-MED","Mediterranean Sea","Xiphias gladius","Swordfish","Assessment","MSY-MT","MT",14600,2008,0.954420623864705,"Assessment","ERdivERmsy-calc-dimensionless"
