"species","resilience"
"Melanorivulus modestus","High"
"Melanorivulus nigromarginatus","High"
"Melanorivulus nigropunctatus","High"
"Melanorivulus ofaie","High"
"Melanorivulus paracatuensis","High"
"Melanorivulus paresi","High"
"Melanorivulus parnaibensis","High"
"Melanorivulus pictus","High"
"Melanorivulus pindorama","High"
"Melanorivulus pinima","High"
"Melanorivulus planaltinus","High"
"Melanorivulus proximus","High"
"Melanorivulus punctatus","High"
"Melanorivulus rossoi","High"
"Melanorivulus rubromarginatus","High"
"Melanorivulus rubroreticulatus","High"
"Melanorivulus rutilicaudus","High"
"Melanorivulus salmonicaudus","High"
"Melanorivulus scalaris","High"
"Melanorivulus schuncki","High"
"Melanorivulus ubirajarai","High"
"Melanorivulus violaceus","High"
"Melanorivulus vittatus","High"
"Melanorivulus zygonectes","High"
"Melanostigma atlanticum","Medium"
"Melanostigma bathium","High"
"Melanostigma gelatinosum","Medium"
"Melanostigma inexpectatum","High"
"Melanostigma kharini","Medium"
"Melanostigma orientale","Medium"
"Melanostigma pammelas","High"
"Melanostigma vitiazi","Medium"
"Melanostomias bartonbeani","Medium"
"Melanostomias biseriatus","Medium"
"Melanostomias globulifer","Medium"
"Melanostomias macrophotus","Medium"
"Melanostomias margaritifer","High"
"Melanostomias melanopogon","Medium"
"Melanostomias melanops","Medium"
"Melanostomias niger","Medium"
"Melanostomias nigroaxialis","Medium"
"Melanostomias paucilaternatus","High"
"Melanostomias pauciradius","Medium"
"Melanostomias pollicifer","Medium"
"Melanostomias stewarti","Medium"
"Melanostomias tentaculatus","Medium"
"Melanostomias valdiviae","High"
"Melanostomias vierecki","Medium"
"Melanotaenia affinis","Medium"
"Melanotaenia ajamaruensis","Medium"
"Melanotaenia albimarginata","Medium"
"Melanotaenia ammeri","Medium"
"Melanotaenia angfa","Medium"
"Melanotaenia arfakensis","Medium"
"Melanotaenia arguni","Medium"
"Melanotaenia aruensis","Medium"
"Melanotaenia australis","Medium"
"Melanotaenia batanta","Medium"
"Melanotaenia boesemani","Medium"
"Melanotaenia caerulea","High"
"Melanotaenia catherinae","Medium"
"Melanotaenia corona","Medium"
"Melanotaenia duboulayi","Medium"
"Melanotaenia eachamensis","Medium"
"Melanotaenia ericrobertsi","High"
"Melanotaenia exquisita","Medium"
"Melanotaenia fasinensis","Medium"
"Melanotaenia flavipinnis","Medium"
"Melanotaenia fluviatilis","Medium"
"Melanotaenia fredericki","Medium"
"Melanotaenia garylangei","Medium"
"Melanotaenia goldiei","Medium"
"Melanotaenia gracilis","Medium"
"Melanotaenia herbertaxelrodi","Medium"
"Melanotaenia irianjaya","Medium"
"Melanotaenia iris","Medium"
"Melanotaenia japenensis","Medium"
"Melanotaenia kamaka","High"
"Melanotaenia kokasensis","Medium"
"Melanotaenia kolaensis","Medium"
"Melanotaenia lacustris","Medium"
"Melanotaenia lakamora","High"
"Melanotaenia laticlavia","Medium"
"Melanotaenia maccullochi","Medium"
"Melanotaenia mairasi","Medium"
"Melanotaenia maylandi","Medium"
"Melanotaenia misoolensis","High"
"Melanotaenia monticola","Medium"
"Melanotaenia mubiensis","Medium"
"Melanotaenia multiradiata","Medium"
"Melanotaenia nigrans","Medium"
"Melanotaenia ogilbyi","Medium"
"Melanotaenia oktediensis","Medium"
"Melanotaenia papuae","High"
"Melanotaenia parkinsoni","Medium"
"Melanotaenia parva","High"
"Melanotaenia patoti","Medium"
"Melanotaenia picta","Medium"
"Melanotaenia pierucciae","High"
"Melanotaenia pimaensis","Medium"
"Melanotaenia praecox","High"
"Melanotaenia pygmaea","High"
"Melanotaenia rubripinnis","Medium"
"Melanotaenia rubrivittata","High"
"Melanotaenia rubrostriata","Medium"
"Melanotaenia salawati","Medium"
"Melanotaenia senckenbergianus","Medium"
"Melanotaenia sexlineata","Medium"
"Melanotaenia solata","Medium"
"Melanotaenia splendida","High"
"Melanotaenia sylvatica","High"
"Melanotaenia synergos","High"
"Melanotaenia trifasciata","Medium"
"Melanotaenia urisa","Medium"
"Melanotaenia utcheensis","Medium"
"Melanotaenia vanheurni","Medium"
"Melanotaenia veoliae","Medium"
"Melanotaenia wanoma","Medium"
"Melanotaenia wokamensis","Medium"
"Melapedalion breve","High"
"Melichthys indicus","High"
"Melichthys niger","Medium"
"Melichthys vidua","Medium"
"Melodichthys hadrocephalus","High"
"Membras analis","High"
"Membras argentea","High"
"Membras dissimilis","High"
"Membras gilberti","High"
"Membras martinica","High"
"Membras vagrans","High"
"Mendosoma lineatum","Medium"
"Mene maculata","High"
"Menidia audens","High"
"Menidia beryllina","High"
"Menidia clarkhubbsi","High"
"Menidia colei","High"
"Menidia conchorum","High"
"Menidia extensa","High"
"Menidia menidia","High"
"Menidia peninsulae","High"
"Menticirrhus americanus","Medium"
"Menticirrhus elongatus","Medium"
"Menticirrhus littoralis","Medium"
"Menticirrhus nasus","Medium"
"Menticirrhus ophicephalus","Medium"
"Menticirrhus paitensis","High"
"Menticirrhus panamensis","Medium"
"Menticirrhus saxatilis","High"
"Menticirrhus undulatus","Medium"
"Mentodus bythios","Medium"
"Mentodus crassus","Medium"
"Mentodus eubranchus","High"
"Mentodus facilis","Medium"
"Mentodus longirostris","Medium"
"Mentodus mesalirus","Medium"
"Mentodus perforatus","Medium"
"Mentodus rostratus","Low"
"Menziesichthys bacescui","High"
"Merlangius merlangus","Medium"
"Merluccius albidus","Medium"
"Merluccius angustimanus","Medium"
"Merluccius australis","Low"
"Merluccius bilinearis","Medium"
"Merluccius capensis","Low"
"Merluccius gayi gayi","Medium"
"Merluccius gayi peruanus","Medium"
"Merluccius hernandezi","Low"
"Merluccius hubbsi","Low"
"Merluccius merluccius","Medium"
"Merluccius paradoxus","Low"
"Merluccius patagonicus","Low"
"Merluccius polli","Medium"
"Merluccius productus","Medium"
"Merluccius senegalensis","Low"
"Merluccius tasmanicus","Medium"
"Merodoras nheco","High"
"Mesobius antipodum","Low"
"Mesobius berryi","Medium"
"Mesoborus crocodilus","High"
"Mesocottus haitej","Medium"
"Mesogobio lachneri","High"
"Mesogobio tumenensis","Medium"
"Mesogobius batrachocephalus","Medium"
"Mesogobius nigronotatus","High"
"Mesogobius nonultimus","Medium"
"Mesoheros atromaculatus","High"
"Mesoheros festae","High"
"Mesoheros gephyrus","High"
"Mesoheros ornatus","Medium"
"Mesonauta acora","High"
"Mesonauta egregius","High"
"Mesonauta festivus","High"
"Mesonauta guyanae","High"
"Mesonauta insignis","High"
"Mesonauta mirificus","High"
"Mesonoemacheilus herrei","High"
"Mesonoemacheilus pambarensis","High"
"Mesonoemacheilus remadevii","High"
"Mesopotamichthys sharpeyi","Medium"
"Mesopristes argenteus","Medium"
"Mesopristes cancellatus","High"
"Mesopristes elongatus","High"
"Mesopristes iravi","High"
"Mesopristes kneri","High"
"Metapenaeus dobsoni","High"
"Metapenaeus monoceros","High"
"Metelectrona ahlstromi","Medium"
"Metelectrona herwigi","High"
"Metelectrona ventralis","High"
"Metynnis altidorsalis","High"
"Metynnis argenteus","High"
"Metynnis cuiaba","High"
"Metynnis fasciatus","High"
"Metynnis guaporensis","High"
"Metynnis hypsauchen","High"
"Metynnis lippincottianus","High"
"Metynnis longipinnis","High"
"Metynnis luna","High"
"Metynnis maculatus","High"
"Metynnis mola","High"
"Metynnis orinocensis","High"
"Metynnis otuquensis","High"
"Metynnis polystictus","High"
"Metzia alba","High"
"Metzia bounthobi","High"
"Metzia formosae","High"
"Metzia hautus","High"
"Metzia lineata","High"
"Metzia longinasus","High"
"Metzia mesembrinum","Medium"
"Metzia parva","High"
"Meuschenia australis","Medium"
"Meuschenia flavolineata","Medium"
"Meuschenia freycineti","Medium"
"Meuschenia galii","Medium"
"Meuschenia hippocrepis","Medium"
"Meuschenia scaber","Medium"
"Meuschenia trachylepis","Medium"
"Meuschenia venusta","High"
"Micracanthicus vandragti","High"
"Micralestes acutidens","High"
"Micralestes ambiguus","High"
"Micralestes argyrotaenia","High"
"Micralestes comoensis","High"
"Micralestes congicus","High"
"Micralestes eburneensis","High"
"Micralestes elongatus","High"
"Micralestes fodori","High"
"Micralestes holargyreus","High"
"Micralestes humilis","High"
"Micralestes lualabae","High"
"Micralestes occidentalis","High"
"Micralestes pabrensis","High"
"Micralestes sardina","High"
"Micralestes schelly","High"
"Micralestes stormsi","High"
"Micralestes vittatus","High"
"Micrenophrys lilljeborgii","Medium"
"Microbrotula andersoni","High"
"Microbrotula bentleyi","High"
"Microbrotula geraldalleni","High"
"Microbrotula greenfieldi","High"
"Microbrotula hamata","High"
"Microbrotula punicea","High"
"Microbrotula queenslandica","High"
"Microbrotula rubra","Low"
"Microcambeva barbata","High"
"Microcanthus strigatus","High"
"Microcharacidium eleotrioides","High"
"Microcharacidium geryi","High"
"Microcharacidium gnomus","High"
"Microcharacidium weitzmani","High"
"Microchirus azevia","Medium"
"Microchirus boscanion","Medium"
"Microchirus frechkopi","Medium"
"Microchirus ocellatus","Medium"
"Microchirus theophila","Medium"
"Microchirus variegatus","Medium"
"Microchirus wittei","Medium"
"Microcobitis misgurnoides","Medium"
"Microcottus matuaensis","Medium"
"Microcottus sellaris","Medium"
"Microctenopoma ansorgii","High"
"Microctenopoma congicum","High"
"Microctenopoma damasi","High"
"Microctenopoma fasciolatum","High"
"Microctenopoma intermedium","High"
"Microctenopoma lineatum","High"
"Microctenopoma milleri","High"
"Microctenopoma nanum","High"
"Microctenopoma nigricans","High"
"Microctenopoma ocellifer","High"
"Microctenopoma pekkolai","High"
"Microctenopoma uelense","High"
"Microdesmus aethiopicus","High"
"Microdesmus africanus","High"
"Microdesmus bahianus","High"
"Microdesmus carri","High"
"Microdesmus dipus","High"
"Microdesmus lanceolatus","High"
"Microdesmus luscus","High"
"Microdevario gatesi","High"
"Microdevario kubotai","High"
"Microdevario nana","High"
"Microgadus proximus","Medium"
"Microgadus tomcod","Medium"
"Microglanis ater","High"
"Microglanis carlae","High"
"Microglanis cottoides","High"
"Microglanis garavelloi","High"
"Microglanis iheringi","High"
"Microglanis leptostriatus","High"
"Microglanis malabarbai","High"
"Microglanis minutus","High"
"Microglanis nigripinnis","High"
"Microglanis oliveirai","High"
"Microglanis parahybae","High"
"Microglanis pataxo","High"
"Microglanis pellopterygius","High"
"Microglanis poecilus","High"
"Microglanis robustus","High"
"Microglanis secundus","High"
"Microglanis variegatus","High"
"Microglanis xylographicus","High"
"Microglanis zonatus","High"
"Micrognathus andersonii","High"
"Micrognathus brevicorpus","High"
"Micrognathus brevirostris","Medium"
"Micrognathus crinitus","High"
"Micrognathus erugatus","High"
"Micrognathus micronotopterus","High"
"Micrognathus natans","High"
"Micrognathus pygmaeus","High"
"Microgobius brevispinis","High"
"Microgobius carri","High"
"Microgobius crocatus","High"
"Microgobius curtus","High"
"Microgobius cyclolepis","High"
"Microgobius emblematicus","High"
"Microgobius erectus","High"
"Microgobius gulosus","High"
"Microgobius meeki","High"
"Microgobius microlepis","High"
"Microgobius miraflorensis","High"
"Microgobius signatus","High"
"Microgobius tabogensis","High"
"Microgobius thalassinus","High"
"Microgobius urraca","High"
"Microichthys coccoi","High"
"Microichthys sanzoi","High"
"Microlepidogaster arachas","High"
"Microlepidogaster dimorpha","High"
"Microlepidogaster longicolla","High"
"Microlepidogaster perforata","High"
"Microlepidotus brevipinnis","Medium"
"Microlepidotus inornatus","Medium"
"Microlipophrys adriaticus","High"
"Microlipophrys bauchotae","High"
"Microlipophrys caboverdensis","High"
"Microlipophrys canevae","High"
"Microlipophrys dalmatinus","High"
"Microlipophrys nigriceps","High"
"Microlipophrys velifer","High"
"Microlophichthys andracanthus","High"
"Microlophichthys microlophus","High"
"Micromesistius australis","Medium"
"Micromesistius poutassou","Medium"
"Micrometrus aurora","Medium"
"Micrometrus minimus","High"
"Micromoema xiphophora","High"
"Micromyzon akamai","High"
"Micronema hexapterus","Medium"
"Micronema moorei","Medium"
"Micronema platypogon","Medium"
"Micronemacheilus zispi","High"
"Micropanchax antinorii","High"
"Micropanchax bracheti","High"
"Micropanchax camerunensis","High"
"Micropanchax ehrichi","High"
"Micropanchax fuelleborni","High"
"Micropanchax hutereaui","High"
"Micropanchax johnstoni","High"
"Micropanchax keilhacki","High"
"Micropanchax kingii","High"
"Micropanchax loati","High"
"Micropanchax pfaffi","High"
"Micropanchax rudolfianus","High"
"Micropanchax scheeli","High"
"Micropercops borealis","Medium"
"Micropercops cinctus","Medium"
"Micropercops dabryi","Medium"
"Micropercops hotayensis","Medium"
"Micropercops swinhonis","Medium"
"Microphilypnus acangaquara","High"
"Microphilypnus amazonicus","High"
"Microphilypnus macrostoma","High"
"Microphilypnus ternetzi","High"
"Microphis aculeatus","High"
"Microphis argulus","High"
"Microphis brachyurus","High"
"Microphis brevidorsalis","High"
"Microphis caudocarinatus","High"
"Microphis cruentus","High"
"Microphis cuncalus","High"
"Microphis deocata","High"
"Microphis dunckeri","High"
"Microphis fluviatilis","High"
"Microphis leiaspis","High"
"Microphis lineatus","High"
"Microphis manadensis","High"
"Microphis mento","High"
"Microphis millepunctatus","High"
"Microphis ocellatus","High"
"Microphis pleurostictus","High"
"Microphis retzii","High"
"Microphis spinachioides","High"
"Microphotolepis multipunctata","High"
"Microphotolepis schmidti","High"
"Microphysogobio alticorpus","High"
"Microphysogobio amurensis","Medium"
"Microphysogobio anudarini","High"
"Microphysogobio brevirostris","High"
"Microphysogobio chenhsienensis","High"
"Microphysogobio chinssuensis","High"
"Microphysogobio elongatus","High"
"Microphysogobio exilicauda","High"
"Microphysogobio fukiensis","High"
"Microphysogobio hsinglungshanensis","High"
"Microphysogobio jeoni","High"
"Microphysogobio kachekensis","High"
"Microphysogobio kiatingensis","High"
"Microphysogobio koreensis","High"
"Microphysogobio labeoides","High"
"Microphysogobio liaohensis","High"
"Microphysogobio linghensis","High"
"Microphysogobio longidorsalis","High"
"Microphysogobio microstomus","High"
"Microphysogobio nudiventris","High"
"Microphysogobio pseudoelongatus","High"
"Microphysogobio rapidus","High"
"Microphysogobio tafangensis","High"
"Microphysogobio tungtingensis","High"
"Microphysogobio vietnamica","High"
"Microphysogobio wulonghensis","High"
"Microphysogobio xianyouensis","High"
"Microphysogobio yaluensis","High"
"Microphysogobio yunnanensis","High"
"Microphysogobio zhangi","High"
"Micropoecilia bifurca","High"
"Micropoecilia branneri","High"
"Micropoecilia minima","High"
"Micropoecilia picta","High"
"Micropogonias altipinnis","Medium"
"Micropogonias ectenes","High"
"Micropogonias fasciatus","Medium"
"Micropogonias furnieri","Medium"
"Micropogonias megalops","Medium"
"Micropogonias undulatus","Medium"
"Micropterus cahabae","Medium"
"Micropterus cataractae","Low"
"Micropterus chattahoochae","High"
"Micropterus coosae","Medium"
"Micropterus dolomieu","Medium"
"Micropterus floridanus","Medium"
"Micropterus henshalli","Low"
"Micropterus notius","Medium"
"Micropterus punctulatus","Medium"
"Micropterus salmoides","Low"
"Micropterus tallapoosae","Medium"
"Micropterus treculii","Medium"
"Micropterus warriorensis","Medium"
"Microrasbora microphthalma","High"
"Microrasbora rubescens","High"
"Microspathodon bairdii","Medium"
"Microspathodon chrysurus","Medium"
"Microspathodon dorsalis","Low"
"Microspathodon frontatus","Medium"
"Microstomatichthyoborus bashforddeani","High"
"Microstomatichthyoborus katangae","High"
"Microstomus achne","Low"
"Microstomus kitt","Medium"
"Microstomus pacificus","Low"
"Microstomus shuntovi","Low"
"Microsynodontis armatus","High"
"Microsynodontis batesii","High"
"Microsynodontis christyi","High"
"Microsynodontis emarginata","High"
"Microsynodontis hirsuta","High"
"Microsynodontis laevigata","High"
"Microsynodontis lamberti","High"
"Microsynodontis nannoculus","High"
"Microsynodontis nasutus","High"
"Microsynodontis notata","High"
"Microsynodontis polli","High"
"Microsynodontis vigilis","High"
"Microthrissa congica","High"
"Microthrissa minuta","High"
"Microthrissa moeruensis","High"
"Microthrissa royauxi","High"
"Microthrissa whiteheadi","High"
"Miichthys miiuy","Medium"
"Mikrogeophagus altispinosus","High"
"Mikrogeophagus ramirezi","High"
"Millerichthys robustus","High"
"Millerigobius macrocephalus","High"
"Milyeringa brooksi","High"
"Milyeringa justitia","High"
"Milyeringa veritas","High"
"Mimagoniates pulcher","High"
"Mimoblennius atrocinctus","High"
"Mimoblennius cas","High"
"Mimoblennius cirrosus","High"
"Mimoblennius lineathorax","High"
"Mimoblennius rusi","High"
"Minilabrus striatus","High"
"Minous andriashevi","High"
"Minous coccineus","High"
"Minous dempsterae","Medium"
"Minous inermis","High"
"Minous longimanus","High"
"Minous monodactylus","Medium"
"Minous pictus","High"
"Minous pusillus","High"
"Minous quincarinatus","Medium"
"Minous trachycephalus","High"
"Minous usachevi","Medium"
"Minous versicolor","High"
"Minyclupeoides dentibranchialus","High"
"Minyichthys brachyrhinus","High"
"Minyichthys inusitatus","High"
"Minyichthys myersi","High"
"Minyichthys sentus","High"
"Minysicya caudimaculata","High"
"Minytrema melanops","Medium"
"Miracorvina angolensis","Low"
"Mirapinna esau","High"
"Mirognathus normani","Medium"
"Mirogrex hulensis","Medium"
"Mirogrex terraesanctae","Low"
"Mirorictus taningi","Medium"
"Miroscyllium sheikoi","Low"
"Misgurnus anguillicaudatus","Medium"
"Misgurnus buphoensis","Medium"
"Misgurnus fossilis","Medium"
"Misgurnus mizolepis","Medium"
"Misgurnus mohoity","Medium"
"Misgurnus multimaculatus","Medium"
"Misgurnus nikolskyi","Medium"
"Misgurnus tonkinensis","Medium"
"Mistichthys luzonensis","High"
"Mitotichthys meraculus","High"
"Mitotichthys mollisoni","High"
"Mitotichthys semistriatus","High"
"Mitotichthys tuckeri","High"
"Mitsukurina owstoni","Very low"
"Miuroglanis platycephalus","High"
"Mixomyrophis longidorsalis","High"
"Mixomyrophis pusillipinna","High"
"Moapa coriacea","High"
"Mobula alfredi","Very low"
"Mobula birostris","Very low"
"Mobula eregoodootenkee","Low"
"Mobula hypostoma","Very low"
"Mobula japanica","Very low"
"Mobula kuhlii","Low"
"Mobula mobular","Low"
"Mobula munkiana","Low"
"Mobula rochebrunei","Low"
"Mobula tarapacana","Very low"
"Mobula thurstoni","Very low"
"Mochokiella paynei","High"
"Mochokus brevis","High"
"Mochokus niloticus","High"
"Modicus minimus","High"
"Modicus tangaroa","High"
"Moema apurinan","High"
"Moema beucheyi","High"
"Moema hellneri","High"
"Moema heterostigma","High"
"Moema nudifrontata","High"
"Moema ortegai","High"
"Moema pepotei","High"
"Moema piriana","High"
"Moema portugali","High"
"Moema quiii","High"
"Moema staecki","High"
"Moenkhausia celibela","High"
"Moenkhausia chlorophthalma","High"
"Moenkhausia dasalmas","High"
"Moenkhausia dichroura","High"
"Moenkhausia eurystaenia","High"
"Moenkhausia forestii","High"
"Moenkhausia icae","High"
"Moenkhausia mikia","High"
"Moenkhausia pirauba","High"
"Moenkhausia plumbea","High"
"Mogurnda adspersa","High"
"Mogurnda aiwasoensis","High"
"Mogurnda arguni","High"
"Mogurnda aurifodinae","High"
"Mogurnda cingulata","High"
"Mogurnda clivicola","High"
"Mogurnda furva","High"
"Mogurnda kaifayama","High"
"Mogurnda kaimana","High"
"Mogurnda kutubuensis","High"
"Mogurnda larapintae","High"
"Mogurnda lineata","High"
"Mogurnda maccuneae","High"
"Mogurnda magna","Medium"
"Mogurnda malsmithi","High"
"Mogurnda mbuta","High"
"Mogurnda mogurnda","High"
"Mogurnda mosa","High"
"Mogurnda oligolepis","High"
"Mogurnda orientalis","High"
"Mogurnda pardalis","High"
"Mogurnda pulchra","High"
"Mogurnda spilota","High"
"Mogurnda thermophila","High"
"Mogurnda variegata","High"
"Mogurnda vitta","High"
"Mogurnda wapoga","High"
"Mola mola","Medium"
"Mollisquama parini","Very low"
"Molva dypterygia","Low"
"Molva macrophthalma","Low"
"Molva molva","Medium"
"Monacanthus chinensis","Medium"
"Monacanthus ciliatus","High"
"Monacanthus tuckeri","High"
"Monacoa grimaldii","High"
"Monacoa griseus","High"
"Monacoa niger","High"
"Monocentris japonica","Low"
"Monocentris neozelanicus","Medium"
"Monocentris reedi","Medium"
"Monochirus hispidus","High"
"Monochirus trichodactylus","Medium"
"Monocirrhus polyacanthus","High"
"Monodactylus kottelati","High"
"Monolene antillarum","Medium"
"Monolene asaedae","High"
"Monolene atrimana","Medium"
"Monolene danae","Medium"
"Monolene dubiosa","High"
"Monolene helenensis","Medium"
"Monolene maculipinna","Medium"
"Monolene megalepis","Medium"
"Monolene mertensi","High"
"Monolene microstoma","Medium"
"Monolene sessilicauda","Medium"
"Monomitopus agassizii","High"
"Monomitopus americanus","Medium"
"Monomitopus conjugator","Medium"
"Monomitopus garmani","Medium"
"Monomitopus kumae","Medium"
"Monomitopus longiceps","Medium"
"Monomitopus magnus","Medium"
"Monomitopus malispinosus","Medium"
"Monomitopus metriostoma","Medium"
"Monomitopus microlepis","Medium"
"Monomitopus nigripinnis","Medium"
"Monomitopus pallidus","High"
"Monomitopus torvus","Medium"
"Monomitopus vitiazi","Medium"
"Monopenchelys acuta","High"
"Monopterus albus","Medium"
"Monopterus bicolor","Medium"
"Monopterus boueti","Medium"
"Monopterus cuchia","Low"
"Monopterus desilvai","Medium"
"Monopterus dienbienensis","Medium"
"Monopterus digressus","Medium"
"Monopterus eapeni","High"
"Monopterus fossorius","High"
"Monopterus hodgarti","High"
"Monopterus ichthyophoides","High"
"Monopterus indicus","High"
"Monopterus luticolus","High"
"Monopterus rongsaw","High"
"Monopterus roseni","Medium"
"Monostichodus elongatus","High"
"Monostichodus lootensi","High"
"Monostichodus mesmaekersi","High"
"Monotaxis grandoculis","Medium"
"Monotaxis heterodon","Medium"
"Monothrix polylepis","High"
"Moolgarda pedaraki","Low"
"Mora moro","Low"
"Mordacia mordax","Medium"
"Mordacia praecox","Medium"
"Mormyrops anguilloides","Low"
"Mormyrops attenuatus","High"
"Mormyrops batesianus","High"
"Mormyrops boulengeri","High"
"Mormyrops breviceps","Medium"
"Mormyrops caballus","Medium"
"Mormyrops citernii","Medium"
"Mormyrops curtus","Medium"
"Mormyrops curviceps","Medium"
"Mormyrops engystoma","High"
"Mormyrops furcidens","High"
"Mormyrops intermedius","High"
"Mormyrops lineolatus","Medium"
"Mormyrops mariae","High"
"Mormyrops masuianus","Medium"
"Mormyrops microstoma","High"
"Mormyrops nigricans","High"
"Mormyrops oudoti","High"
"Mormyrops parvus","High"
"Mormyrops sirenoides","Medium"
"Mormyrops zanclirostris","High"
"Mormyrus bernhardi","High"
"Mormyrus caballus","Medium"
"Mormyrus casalis","High"
"Mormyrus caschive","Low"
"Mormyrus cyaneus","High"
"Mormyrus felixi","High"
"Mormyrus goheeni","High"
"Mormyrus hasselquistii","Medium"
"Mormyrus hildebrandti","High"
"Mormyrus iriodes","High"
"Mormyrus kannume","Medium"
"Mormyrus lacerda","High"
"Mormyrus longirostris","Medium"
"Mormyrus macrocephalus","Medium"
"Mormyrus macrophthalmus","Medium"
"Mormyrus niloticus","Medium"
"Mormyrus ovis","High"
"Mormyrus rume","Low"
"Mormyrus subundulatus","High"
"Mormyrus tapirus","Medium"
"Mormyrus tenuirostris","Medium"
"Mormyrus thomasi","High"
"Morone americana","Low"
"Morone chrysops","Medium"
"Morone mississippiensis","Medium"
"Morone saxatilis","Low"
"Moxostoma albidum","Low"
"Moxostoma anisurum","Medium"
"Moxostoma ariommum","Medium"
"Moxostoma austrinum","Low"
"Moxostoma breviceps","Low"
"Moxostoma carinatum","Low"
"Moxostoma cervinum","Medium"
"Moxostoma collapsum","Low"
"Moxostoma congestum","Very low"
"Moxostoma duquesnii","Medium"
"Moxostoma erythrurum","Low"
"Moxostoma hubbsi","Very low"
"Moxostoma lacerum","Medium"
"Moxostoma lachneri","Low"
"Moxostoma macrolepidotum","Medium"
"Moxostoma mascotae","Low"
"Moxostoma pappillosum","Low"
"Moxostoma pisolabrum","Low"
"Moxostoma poecilurum","Low"
"Moxostoma robustum","Low"
"Moxostoma rupiscartes","Medium"
"Moxostoma valenciennesi","Low"
"Mucurilebias leitaoi","High"
"Mugil bananensis","High"
"Mugil brevirostris","Medium"
"Mugil broussonnetii","Medium"
"Mugil capurrii","Medium"
"Mugil cephalus","Medium"
"Mugil curema","Medium"
"Mugil curvidens","Medium"
"Mugil gaimardianus","Low"
"Mugil galapagensis","Medium"
"Mugil hospes","Medium"
"Mugil incilis","High"
"Mugil liza","Medium"
"Mugil longicauda","Medium"
"Mugil margaritae","Medium"
"Mugil rubrioculus","Medium"
"Mugil setosus","Medium"
"Mugil thoburni","Medium"
"Mugil trichodon","Medium"
"Mugilogobius abei","High"
"Mugilogobius adeia","High"
"Mugilogobius amadi","High"
"Mugilogobius cagayanensis","High"
"Mugilogobius cavifrons","High"
"Mugilogobius chulae","High"
"Mugilogobius durbanensis","High"
"Mugilogobius fasciatus","High"
"Mugilogobius filifer","High"
"Mugilogobius fusca","High"
"Mugilogobius fusculus","High"
"Mugilogobius hitam","High"
"Mugilogobius karatunensis","High"
"Mugilogobius latifrons","High"
"Mugilogobius lepidotus","High"
"Mugilogobius littoralis","High"
"Mugilogobius mertoni","High"
"Mugilogobius myxodermus","High"
"Mugilogobius notospilus","High"
"Mugilogobius nuicocensis","High"
"Mugilogobius paludis","High"
"Mugilogobius platynotus","High"
"Mugilogobius platystomus","High"
"Mugilogobius rambaiae","High"
"Mugilogobius rexi","High"
"Mugilogobius rivulus","High"
"Mugilogobius sarasinorum","Medium"
"Mugilogobius stigmaticus","High"
"Mugilogobius tagala","High"
"Mugilogobius tigrinus","High"
"Mugilogobius wilsoni","High"
"Mugilogobius zebra","High"
"Mulloidichthys ayliffe","High"
"Mulloidichthys dentatus","Medium"
"Mulloidichthys flavolineatus","Medium"
"Mulloidichthys martinicus","Medium"
"Mulloidichthys mimicus","High"
"Mulloidichthys pfluegeri","Medium"
"Mulloidichthys vanicolensis","Medium"
"Mullus argentinae","Medium"
"Mullus auratus","High"
"Mullus barbatus barbatus","Medium"
"Mullus barbatus ponticus","Medium"
"Mullus surmuletus","Medium"
"Muraena appendiculata","Low"
"Muraena argus","Very low"
"Muraena augusti","Low"
"Muraena clepsydra","Very low"
"Muraena helena","Very low"
"Muraena lentiginosa","Medium"
"Muraena melanotis","Low"
"Muraena pavonina","Medium"
"Muraena retifera","Medium"
"Muraena robusta","Very low"
"Muraenesox bagio","High"
"Muraenesox cinereus","Medium"
"Muraenichthys elerae","High"
"Muraenichthys gymnopterus","High"
"Muraenichthys philippinensis","High"
"Muraenichthys schultzei","High"
"Muraenichthys sibogae","High"
"Muraenichthys thompsoni","High"
"Muraenoclinus dorsalis","Medium"
"Muraenolepis microps","Medium"
"Mustelus albipinnis","Low"
"Mustelus antarcticus","Low"
"Mustelus asterias","Very low"
"Mustelus californicus","Very low"
"Mustelus canis","Low"
"Mustelus dorsalis","Very low"
"Mustelus fasciatus","Very low"
"Mustelus griseus","Very low"
"Mustelus henlei","Low"
"Mustelus higmani","Very low"
"Mustelus lenticulatus","Low"
"Mustelus lunulatus","Low"
"Mustelus manazo","Very low"
"Mustelus mangalorensis","Low"
"Mustelus mento","Very low"
"Mustelus minicanis","Low"
"Mustelus mosis","Very low"
"Mustelus mustelus","Very low"
"Mustelus norrisi","Very low"
"Mustelus palumbes","Very low"
"Mustelus punctulatus","Low"
"Mustelus ravidus","Medium"
"Mustelus schmitti","Very low"
"Mustelus sinusmexicanus","Low"
"Mustelus stevensi","Medium"
"Mustelus walkeri","Low"
"Mustelus whitneyi","Very low"
"Mustelus widodoi","Low"
"Myaka myaka","High"
"Mycteroperca acutirostris","Low"
"Mycteroperca bonaci","Medium"
"Mycteroperca cidi","Very low"
"Mycteroperca fusca","Low"
"Mycteroperca interstitialis","Low"
"Mycteroperca jordani","Very low"
"Mycteroperca microlepis","Medium"
"Mycteroperca olfax","Medium"
"Mycteroperca phenax","Low"
"Mycteroperca prionura","Very low"
