"","type","class","order","family","genus","species","species_saup","comm_name","resilience","habitat"
"138","fish","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","Sphyrna lewini","Sphyrna lewini","Scalloped hammerhead","Low","pelagic-oceanic"
"139","fish","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","Sphyrna mokarran","Sphyrna mokarran","Great hammerhead","Low","pelagic-oceanic"
"140","fish","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","Sphyrna zygaena","Sphyrna zygaena","Smooth hammerhead","Low","pelagic-oceanic"
"141","fish","Elasmobranchii","Squaliformes","Squalidae","Squalus","Squalus acanthias","Squalus acanthias","Piked dogfish","Very low","benthopelagic"
"142","fish","Actinopterygii","Perciformes","Istiophoridae","Tetrapturus","Tetrapturus angustirostris","Tetrapturus angustirostris","Shortbill spearfish","Medium","pelagic-oceanic"
"143","fish","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","Thunnus alalunga","Albacore","Medium","pelagic-oceanic"
"144","fish","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus albacares","Thunnus albacares","Yellowfin tuna","Medium","pelagic-oceanic"
"145","fish","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus maccoyii","Thunnus maccoyii","Southern bluefin tuna","Low","pelagic-oceanic"
"146","fish","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus obesus","Thunnus obesus","Bigeye tuna","Medium","pelagic-oceanic"
"147","fish","Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus thynnus","Thunnus thynnus","Atlantic bluefin tuna","Low","pelagic-oceanic"
"148","fish","Actinopterygii","Perciformes","Gempylidae","Thyrsites","Thyrsites atun","Thyrsites atun","Snoek","Medium","benthopelagic"
"149","fish","Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus capensis","Trachurus capensis","Cape horse mackerel","Medium","pelagic-neritic"
"150","fish","Elasmobranchii","Carcharhiniformes","Triakidae","Triakis","Triakis megalopterus","Triakis megalopterus","Sharptooth houndshark","Very low","demersal"
"151","fish","Actinopterygii","Perciformes","Trichiuridae","Trichiurus","Trichiurus lepturus","Trichiurus lepturus","Largehead hairtail","Medium","benthopelagic"
"152","fish","Actinopterygii","Perciformes","Mullidae","Upeneus","Upeneus vittatus","Upeneus vittatus","Yellowstriped goatfish","High","reef-associated"
"153","fish","Actinopterygii","Perciformes","Serranidae","Variola","Variola louti","Variola louti","Yellow-edged lyretail","Medium","reef-associated"
"154","fish","Actinopterygii","Perciformes","Xiphiidae","Xiphias","Xiphias gladius","Xiphias gladius","Swordfish","Medium","pelagic-oceanic"
"155","fish","Actinopterygii","Zeiformes","Zeidae","Zeus","Zeus faber","Zeus faber","John dory","Medium","benthopelagic"
"156","fish","Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma","Anoplopoma fimbria","Anoplopoma fimbria","Sablefish","Very low","bathydemersal"
"157","fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","Atheresthes evermanni","Atheresthes evermanni","Kamchatka flounder","Low","demersal"
"158","fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes","Atheresthes stomias","Atheresthes stomias","Arrowtooth flounder","Low","demersal"
