"area_name","scientific_name","common_name","trawl_perc_rep","trawl_perc_tot","stockid"
"Agulhas Current","Mollusca","Clams, seasnails, squids, octopuses",0,0,"Agulhas Current-Mollusca"
"Agulhas Current","Mugilidae","Mullets, grey mullets",0,0,"Agulhas Current-Mugilidae"
"Agulhas Current","Mullidae","Goatfishes",0,0,"Agulhas Current-Mullidae"
"Agulhas Current","Muraenesocidae","Pike congers",0,0,"Agulhas Current-Muraenesocidae"
"Agulhas Current","Muraenidae","Moray eels",0,0,"Agulhas Current-Muraenidae"
"Agulhas Current","Mustelus","Smoothhounds",NA,NA,"Agulhas Current-Mustelus"
"Agulhas Current","Mustelus mustelus","Smooth-hound",0,0,"Agulhas Current-Mustelus mustelus"
"Agulhas Current","Myctophidae","Lanternfishes",83.3333333333333,83.3333333333333,"Agulhas Current-Myctophidae"
"Agulhas Current","Myripristis","Soldierfishes",0,0,"Agulhas Current-Myripristis"
"Agulhas Current","Naso","Unicornfishes",0,0,"Agulhas Current-Naso"
"Agulhas Current","Naso unicornis","Bluespine unicornfish",0,0,"Agulhas Current-Naso unicornis"
"Agulhas Current","Nemipteridae","Threadfins, whiptail breams",0,0,"Agulhas Current-Nemipteridae"
"Agulhas Current","Nemipterus","Threadfin breams",0,0,"Agulhas Current-Nemipterus"
"Agulhas Current","Nephropidae","Clawed lobsters",NA,NA,"Agulhas Current-Nephropidae"
"Agulhas Current","Notorynchus cepedianus","Broadnose sevengill shark",0,0,"Agulhas Current-Notorynchus cepedianus"
"Agulhas Current","Octopoda","Octopuses, argonauts",0,0,"Agulhas Current-Octopoda"
"Agulhas Current","Octopodidae","Octopuses",0,0,"Agulhas Current-Octopodidae"
"Agulhas Current","Octopus","Octopuses, pikas",NA,NA,"Agulhas Current-Octopus"
"Agulhas Current","Octopus cyanea","Big blue octopus",NA,NA,"Agulhas Current-Octopus cyanea"
"Agulhas Current","Otolithes ruber","Tigertoothed croaker",0,0,"Agulhas Current-Otolithes ruber"
"Agulhas Current","Palinuridae","Spiny lobsters",50,50,"Agulhas Current-Palinuridae"
"Agulhas Current","Palinurus","Spiny lobsters",37.1212121215684,37.1212121215684,"Agulhas Current-Palinurus"
"Agulhas Current","Palinurus delagoae","Natal spiny lobster",0,0,"Agulhas Current-Palinurus delagoae"
"Agulhas Current","Palinurus gilchristi","Southern spiny lobster",0,0,"Agulhas Current-Palinurus gilchristi"
"Agulhas Current","Pampus argenteus","Silver pomfret",100,100,"Agulhas Current-Pampus argenteus"
"Agulhas Current","Panulirus","Spiny lobsters",0,0,"Agulhas Current-Panulirus"
"Agulhas Current","Panulirus homarus","Scalloped spiny lobster",0,0,"Agulhas Current-Panulirus homarus"
"Agulhas Current","Pelates quadrilineatus","Fourlined terapon",NA,NA,"Agulhas Current-Pelates quadrilineatus"
"Agulhas Current","Pellona ditchela","Indian pellona",NA,NA,"Agulhas Current-Pellona ditchela"
"Agulhas Current","Penaeidae","Commercial shrimps and prawns",53.7466782564634,53.7466782564634,"Agulhas Current-Penaeidae"
"Agulhas Current","Penaeus","Tiger prawns",53.3625997182427,53.3625997182427,"Agulhas Current-Penaeus"
"Agulhas Current","Penaeus semisulcatus","Green tiger prawn",100,100,"Agulhas Current-Penaeus semisulcatus"
"Agulhas Current","Perciformes","Perch-likes",0,0,"Agulhas Current-Perciformes"
"Agulhas Current","Peristediidae","Armored searobins, gurnards",0,0,"Agulhas Current-Peristediidae"
"Agulhas Current","Petrus rupestris","Red steenbras",0,0,"Agulhas Current-Petrus rupestris"
"Agulhas Current","Platax","Spadefishes",0,0,"Agulhas Current-Platax"
"Agulhas Current","Platycephalidae","Flatheads",0,0,"Agulhas Current-Platycephalidae"
"Agulhas Current","Platycephalus indicus","Bartail flathead",0,0,"Agulhas Current-Platycephalus indicus"
"Agulhas Current","Plectropomus laevis","Blacksaddled coralgrouper",0,0,"Agulhas Current-Plectropomus laevis"
"Agulhas Current","Plectropomus pessuliferus","Roving coralgrouper",0,0,"Agulhas Current-Plectropomus pessuliferus"
"Agulhas Current","Pleuronectiformes","Flatfishes",50,50,"Agulhas Current-Pleuronectiformes"
"Agulhas Current","Plotosus lineatus","Striped eel catfish",NA,NA,"Agulhas Current-Plotosus lineatus"
"Agulhas Current","Polynemidae","Threadfins",0,0,"Agulhas Current-Polynemidae"
"Agulhas Current","Polyprion americanus","Wreckfish",0,0,"Agulhas Current-Polyprion americanus"
"Agulhas Current","Pomacentridae","Damselfishes",0,0,"Agulhas Current-Pomacentridae"
"Agulhas Current","Pomadasys","Grunters",NA,NA,"Agulhas Current-Pomadasys"
"Agulhas Current","Pomadasys argenteus","Silver grunt",NA,NA,"Agulhas Current-Pomadasys argenteus"
"Agulhas Current","Pomadasys stridens","Striped piggy",NA,NA,"Agulhas Current-Pomadasys stridens"
"Agulhas Current","Pomatomus saltatrix","Bluefish",44.4444444444444,44.4444444444444,"Agulhas Current-Pomatomus saltatrix"
"Agulhas Current","Portunidae","Swimming crabs",NA,NA,"Agulhas Current-Portunidae"
"Agulhas Current","Portunus pelagicus","Blue swimming crab",NA,NA,"Agulhas Current-Portunus pelagicus"
"Agulhas Current","Prionace glauca","Blue shark",0,0,"Agulhas Current-Prionace glauca"
"Agulhas Current","Pristipomoides zonatus","Oblique-banded snapper",0,0,"Agulhas Current-Pristipomoides zonatus"
"Agulhas Current","Psettodes erumei","Indian halibut",0,0,"Agulhas Current-Psettodes erumei"
"Agulhas Current","Psettodidae","Turbots, Indian halibuts",0,0,"Agulhas Current-Psettodidae"
"Agulhas Current","Pseudopentaceros richardsoni","Pelagic armorhead",40,40,"Agulhas Current-Pseudopentaceros richardsoni"
"Agulhas Current","Pterogymnus laniarius","Panga seabream",0,0,"Agulhas Current-Pterogymnus laniarius"
"Agulhas Current","Rachycentridae","Cobias",0,0,"Agulhas Current-Rachycentridae"
"Agulhas Current","Rachycentron canadum","Cobia",16.6666666666667,16.6666666666667,"Agulhas Current-Rachycentron canadum"
"Agulhas Current","Raja","Stingrays, skates",NA,NA,"Agulhas Current-Raja"
"Agulhas Current","Raja miraletus","Brown ray",0,0,"Agulhas Current-Raja miraletus"
"Agulhas Current","Rajiformes","Skates and rays",62.5,62.5,"Agulhas Current-Rajiformes"
"Agulhas Current","Ranina ranina","Kona crab ",0,0,"Agulhas Current-Ranina ranina"
"Agulhas Current","Rastrelliger","Indian mackerels",50,50,"Agulhas Current-Rastrelliger"
"Agulhas Current","Rastrelliger kanagurta","Indian mackerel",0,0,"Agulhas Current-Rastrelliger kanagurta"
"Agulhas Current","Rhabdosargus globiceps","White stumpnose",0,0,"Agulhas Current-Rhabdosargus globiceps"
"Agulhas Current","Ruvettus pretiosus","Oilfish",0,0,"Agulhas Current-Ruvettus pretiosus"
"Agulhas Current","Sarda orientalis","Striped bonito",50,50,"Agulhas Current-Sarda orientalis"
"Agulhas Current","Sarda sarda","Atlantic bonito",50,50,"Agulhas Current-Sarda sarda"
"Agulhas Current","Sardinella","Sardinellas",37.5,37.5,"Agulhas Current-Sardinella"
"Agulhas Current","Sardinops sagax","Pacific sardine",0,0,"Agulhas Current-Sardinops sagax"
"Agulhas Current","Sarpa salpa","Salema",0,0,"Agulhas Current-Sarpa salpa"
"Agulhas Current","Scaridae","Parrotfishes",0,0,"Agulhas Current-Scaridae"
"Agulhas Current","Sciaenidae","Drums, croakers",0,0,"Agulhas Current-Sciaenidae"
"Agulhas Current","Scomber","Chub mackerels",28.5714285714286,28.5714285714286,"Agulhas Current-Scomber"
"Agulhas Current","Scomberomorus","Spanish mackerels",0,0,"Agulhas Current-Scomberomorus"
"Agulhas Current","Scomberomorus commerson","Narrowbarred Spanish mackerel",0,0,"Agulhas Current-Scomberomorus commerson"
"Agulhas Current","Scombridae","Mackerels, tunas, bonitos",50,50,"Agulhas Current-Scombridae"
"Agulhas Current","Scombroidea","Tunas, bonitos, billfishes",0,0,"Agulhas Current-Scombroidea"
"Agulhas Current","Scorpaena","Scorpionfishes",0,0,"Agulhas Current-Scorpaena"
"Agulhas Current","Scorpaenidae","Scorpionfishes, rockfishes",0,0,"Agulhas Current-Scorpaenidae"
"Agulhas Current","Scorpaeniformes","Scorpionfishes, flatheads",NA,NA,"Agulhas Current-Scorpaeniformes"
"Agulhas Current","Scyliorhinidae","Cat/swellsharks",0,0,"Agulhas Current-Scyliorhinidae"
"Agulhas Current","Scylla serrata","Indo-Pacific swamp crab",0,0,"Agulhas Current-Scylla serrata"
"Agulhas Current","Scyllaridae","Slipper lobsters",0,0,"Agulhas Current-Scyllaridae"
"Agulhas Current","Selar crumenophthalmus","Bigeye scad",NA,NA,"Agulhas Current-Selar crumenophthalmus"
"Agulhas Current","Sepia latimanus","Broadclub cuttlefish",NA,NA,"Agulhas Current-Sepia latimanus"
"Agulhas Current","Sepiidae","Cuttlefishes",50,50,"Agulhas Current-Sepiidae"
"Agulhas Current","Seriola","Amberjacks",0,0,"Agulhas Current-Seriola"
"Agulhas Current","Seriola lalandi","Yellowtail amberjack",0,0,"Agulhas Current-Seriola lalandi"
"Agulhas Current","Serranidae","Basses, groupers, hinds",28.5714285714286,28.5714285714286,"Agulhas Current-Serranidae"
